"EisaiOroshiSoshiki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","OroshiSoshikiCode_ECONV","EisaiShishoka_ID","Data_Status"
"118","01/07/2019 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 14:06:17","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","29","3003621","0"
"119","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:59:59","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","30","552","0"
"120","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:59:59","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","32","520","0"
"121","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:59:59","PVU-1010","itg45886","02/10/2026 14:33:24","PVU_XP_1302","36","521","0"
"122","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","12/20/2017 13:19:59","PVU-1030","itg45886","02/10/2026 14:33:24","PVU_XP_1302","37","585","0"
"123","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","12/20/2017 13:19:59","PVU-1030","itg45886","02/10/2026 14:33:24","PVU_XP_1302","38","599","0"
"124","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","12/20/2017 13:19:59","PVU-1030","itg45886","02/10/2026 14:33:24","PVU_XP_1302","39","592","0"
"125","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","12/20/2017 13:19:59","PVU-1030","itg45886","02/10/2026 14:33:24","PVU_XP_1302","40","602","0"
"126","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:43:41","CTOOL","PVUDC","01/12/2013 23:43:41","CTOOL","010","504","9"
"127","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:43:41","CTOOL","PVUDC","01/12/2013 23:43:41","CTOOL","01Z","501","9"
"128","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:43:41","CTOOL","PVUDC","01/12/2013 23:43:41","CTOOL","020","503","9"
"129","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","12/19/2017 16:07:55","PVU-1030","itg36979","12/19/2017 16:07:55","PVU-1030","030","501","9"
"130","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:43:41","CTOOL","PVUDC","01/12/2013 23:43:41","CTOOL","040","506","9"
"131","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","12/19/2017 16:07:55","PVU-1030","itg36979","12/19/2017 16:07:55","PVU-1030","050","506","9"
"132","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:43:41","CTOOL","PVUDC","01/12/2013 23:43:41","CTOOL","060","507","9"
"133","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","12/19/2017 16:07:55","PVU-1030","itg36979","12/19/2017 16:07:55","PVU-1030","070","506","9"
